City_ID,City,lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ilulissat,69.2167,-51.1,276.16,52,75,5.14,GL,1695845100
83,papatowai,-46.5619,169.4708,281.39,86,100,5.59,NZ,1695845112
84,la punta,-33.1837,-66.3127,296.34,7,0,6.33,AR,1695845249
85,keflavik,64.0049,-22.5624,284.1,87,75,3.09,IS,1695845094
86,conde,-7.2597,-34.9075,299.85,69,20,4.12,BR,1695845091
87,ingeniero jacobacci,-41.3427,-69.5448,283.15,46,100,14.22,AR,1695845250
88,prado,-17.3411,-39.2208,299.12,74,24,9.15,BR,1695845150
89,glace bay,46.1969,-59.957,288.09,83,0,0.45,CA,1695845250
90,port alfred,-33.5906,26.891,286.03,95,100,2.24,ZA,1695845171
91,aktau,43.65,51.2,289.47,45,0,1.76,KZ,1695845251
92,invercargill,-46.4,168.35,280.94,97,91,3.13,NZ,1695845084
93,tosontsengel,48.7567,98.2839,270.81,87,100,2.65,MN,1695845251
94,vrangel',42.7297,133.0839,289.74,88,100,1.76,RU,1695845251
95,paradip garh,20.3167,86.6167,300.72,82,99,2.93,IN,1695845251
96,ornskoldsvik,63.2909,18.7153,284.68,100,75,2.57,SE,1695845252
97,hithadhoo,-0.6,73.0833,300.26,77,100,2.57,MV,1695845159
98,afaahiti,-17.75,-149.2833,299.08,86,1,5.69,PF,1695845175
99,port saint john's,-31.6229,29.5448,290.81,64,97,5.18,ZA,1695845253
100,hays,30.0502,-98.0336,307.89,40,75,0.89,US,1695845253
101,puerto ayora,-0.7393,-90.3518,301.13,89,79,4.47,EC,1695845110
102,valle hermoso,25.6667,-97.8333,310.09,30,1,3.18,MX,1695845104
103,puerto carreno,6.189,-67.4859,308.03,46,22,0.85,CO,1695845254
104,longyearbyen,78.2186,15.6401,265.06,73,20,3.09,SJ,1695845102
105,shingu,33.7333,135.9833,296.17,89,3,2.39,JP,1695845254
106,waajid,3.8096,43.2463,299.13,67,41,9.09,SO,1695845254
107,batu pahat,1.8548,102.9325,297.44,85,41,2.77,MY,1695845254
108,dhuusamarreeb,5.535,46.3861,300.04,67,91,8.95,SO,1695845255
109,petropavlovsk-kamchatsky,53.0452,158.6483,272.48,86,0,4.0,RU,1695845180
110,iglino,54.8324,56.4126,281.2,67,93,1.76,RU,1695845255
111,flying fish cove,-10.4217,105.6791,296.97,88,100,5.66,CX,1695845255
112,bubaque,11.2833,-15.8333,301.43,80,2,4.27,GW,1695845256
113,mil'kovo,55.6078,37.7956,286.51,66,74,1.12,RU,1695845256
114,blackmans bay,-43.0167,147.3167,284.55,77,39,2.49,AU,1695845082
115,san juan de miraflores,-12.1629,-76.9635,293.44,77,93,3.56,PE,1695845257
116,karaidel',55.8337,56.9069,281.15,82,58,0.95,RU,1695845257
117,stadskanaal,52.9833,6.95,292.08,83,100,1.79,NL,1695845121
118,saldanha,-33.0117,17.9442,286.18,72,0,2.91,ZA,1695845086
119,vlasim,49.7063,14.8988,291.91,63,23,2.9,CZ,1695845258
120,horta,38.5333,-28.6333,295.95,92,40,8.75,PT,1695845258
121,iqaluit,63.7506,-68.5145,276.0,74,40,11.32,CA,1695845131
122,wailua homesteads,22.0669,-159.378,300.39,82,96,4.47,US,1695845085
123,colby,39.3958,-101.0524,302.04,39,0,8.23,US,1695845173
124,katsuren-haebaru,26.3369,127.8719,301.16,94,20,2.57,JP,1695845259
125,yulinshi,38.2906,109.7494,288.57,36,95,0.62,CN,1695845259
